*********************************Pentru 30 zile************************
Cheltuiele totale 8076540 RON dintre care:
 ^Transportul(dus-intors aeroport)  , 204480
 ^Cazarea                           , 4418400
 ^Machiaj                           , 1579380
 ^Mancare si apa(bauturi)           , 1580280
 ^Inchiriere castel                 , 294000


*********************************Pentru 45 zile************************
Cheltuiele totale 12012570 RON dintre care:
 ^Transportul(dus-intors aeroport)  , 204480
 ^Cazarea                           , 6627600
 ^Machiaj                           , 2369070
 ^Mancare si apa(bauturi)           , 2370420
 ^Inchiriere castel                 , 441000


*********************************Pentru 60 zile************************
Cheltuiele totale 15948600 RON dintre care:
 ^Transportul(dus-intors aeroport)  , 204480
 ^Cazarea                           , 8836800
 ^Machiaj                           , 3158760
 ^Mancare si apa(bauturi)           , 3160560
 ^Inchiriere castel                 , 588000


*********************************Pentru 100 zile ************************
Cheltuiele totale 26444680 RON dintre care:
 ^Transportul(dus-intors aeroport)  , 204480
 ^Cazarea                           , 14728000
 ^Machiaj                           , 5264600
 ^Mancare si apa(bauturi)           , 5267600
 ^Inchiriere castel                 , 980000


